economy,year,GDP_per_capita,Life_expectancy,Healthcare_spending_per_capita,Infant_mortality_rate,Education_expenditure_pct_GDP,Population,income_group,region
ECU,2020.0,5463.64515348598,72.004,473.01956177,11.5,4.26103019714355,17546065.0,UMC,LCN
ECU,2021.0,6061.32350181711,72.746,498.60794067,11.3,3.64776992797852,17682454.0,UMC,LCN
ECU,2022.0,6515.58528418336,76.577,492.83575439,11.2,3.59897994995117,17823897.0,UMC,LCN
EGY,2020.0,3511.11381026379,69.79,148.35269165,17.8,,109315124.0,LMC,MEA
EGY,2021.0,3827.35415374308,68.976,176.93664551,17.2,,110957008.0,LMC,MEA
EGY,2022.0,4233.30783744856,71.01,170.97909546,16.7,,112618250.0,LMC,MEA
EMU,2020.0,38234.5335889285,81.4873571657503,4261.74086179939,3.03698022817174,5.29139995574951,346986142.0,,
EMU,2021.0,42967.2551656434,81.5839330415712,4786.25865840534,3.05787567846989,5.08243989944458,347207191.0,,
EMU,2022.0,41446.4322827569,81.6212237452298,4414.09742965593,3.02990230182414,4.95753502845764,348700885.0,,
ERI,2020.0,,66.98,27.66241646,27.9,,3291271.0,LIC,SSF
ERI,2021.0,,66.94,27.58759499,27.2,,3350183.0,LIC,SSF
ERI,2022.0,,67.789,27.08350372,26.4,,3409447.0,LIC,SSF
ESP,2020.0,27233.9426461608,82.2317073170732,2898.00537109,2.6,4.85116004943848,47359424.0,HIC,ECS
ESP,2021.0,30799.4775937775,83.1780487804878,3144.11181641,2.6,4.81315994262695,47443821.0,HIC,ECS
ESP,2022.0,30270.2687017458,83.1341463414634,2910.83764648,2.6,4.58553981781006,47786102.0,HIC,ECS
EST,2020.0,23933.9939421065,78.5951219512195,1789.03417969,1.8,5.44180011749268,1329522.0,HIC,ECS
EST,2021.0,27953.7670230126,76.9439024390244,2091.15649414,1.8,5.21514987945557,1330932.0,HIC,ECS
EST,2022.0,28451.1477825175,77.8439024390244,1998.88549805,1.7,5.20733976364136,1348840.0,HIC,ECS
ETH,2020.0,905.313159254148,65.969,28.28001595,39.6,4.0905654220699,118917671.0,INX,SSF
ETH,2021.0,910.947887074508,65.33,26.06936646,38.3,4.06524874309096,122138588.0,INX,SSF
ETH,2022.0,1011.07332413462,66.897,27.0685215,37.0,3.73649512188829,125384287.0,INX,SSF
EUU,2020.0,34698.4032089427,80.4414754678551,3742.85591172145,3.21949239060874,4.93079495429992,446870959.0,,
EUU,2021.0,39214.3660784805,80.3071964400875,4226.05153967604,3.21384433385185,4.79329490661621,446227358.0,,
EUU,2022.0,37962.8295010744,80.7129818383208,3897.67038520266,3.18683214828156,4.65508985519409,447703403.0,,
FCS,2020.0,1685.09795088858,62.0663682854031,74.501655286409,49.4971960235411,3.37838750148121,994901090.0,,
FCS,2021.0,1757.35640223069,61.6086810439385,80.7243483362665,48.4897828488366,3.14335470187693,1016906998.0,,
FCS,2022.0,1897.94911362527,62.702271566254,71.8773072908195,48.5154059942791,,1036390026.0,,
FIN,2020.0,48828.6846862799,81.9317073170732,4736.21435547,1.8,6.6812801361084,5529543.0,HIC,ECS
FIN,2021.0,53099.1351400148,81.8853658536585,5261.90966797,1.8,6.58820009231567,5541017.0,HIC,ECS
FIN,2022.0,50440.560224974,81.1878048780488,4902.0390625,1.8,6.37603998184204,5556106.0,HIC,ECS
FJI,2020.0,4844.42127154524,66.924,256.25967407,21.9,5.80519512902055,914963.0,UMC,EAS
FJI,2021.0,4696.17103944634,64.904,331.58413696,22.9,4.8526862712935,916711.0,UMC,EAS
FJI,2022.0,5405.03006162671,67.148,217.15068054,23.5,3.93839539074194,919422.0,UMC,EAS
FRA,2020.0,39169.8606000707,82.1756097560976,4747.51367188,3.3,5.65872001647949,67601110.0,HIC,ECS
FRA,2021.0,43725.0999521245,82.3243902439024,5376.74560547,3.4,5.41742992401123,67842811.0,HIC,ECS
FRA,2022.0,41082.8119320747,82.1292682926829,4865.17822266,3.4,5.32435989379883,68065015.0,HIC,ECS
FRO,2020.0,62240.822409175,82.6439024390244,,,,52567.0,HIC,ECS
FRO,2021.0,68749.4005557957,82.8439024390244,,,,53305.0,HIC,ECS
FRO,2022.0,66139.3809716876,82.9439024390244,,,,53927.0,HIC,ECS
FSM,2020.0,3362.02793142215,65.878,402.98059082,22.9,11.5591397849462,110916.0,LMC,EAS
FSM,2021.0,3508.22356270221,66.152,398.76144409,22.2,,111624.0,LMC,EAS
FSM,2022.0,3710.12448453257,66.961,396.7605896,21.5,,112114.0,LMC,EAS
GAB,2020.0,6605.80346077904,67.073,225.32466125,28.5,3.39874087928788,2322539.0,UMC,SSF
GAB,2021.0,8181.40914134398,67.072,228.84915161,28.1,2.7007928993976,2376722.0,UMC,SSF
GAB,2022.0,8409.20741452279,67.713,247.09622192,27.2,2.20773650357931,2430747.0,UMC,SSF
GBR,2020.0,40404.8062238951,80.331756097561,4816.15283203,3.9,5.43935012817383,66744000.0,HIC,ECS
GBR,2021.0,46926.475736105,80.6473170731707,5612.04931641,3.9,5.90682983398438,66984000.0,HIC,ECS
GBR,2022.0,46062.9914079698,81.0112195121951,5035.6171875,3.9,,67604000.0,HIC,ECS
GEO,2020.0,4300.85701291207,73.509,351.94335938,8.2,3.80951130708125,3722716.0,UMC,ECS
GEO,2021.0,5083.60695484577,71.635,413.7199707,8.2,3.59441995620727,3708610.0,UMC,ECS
GEO,2022.0,6729.84659930283,74.141,477.70956421,8.1,3.75498008728027,3712502.0,UMC,ECS
GHA,2020.0,2195.45481659987,64.309,97.37677765,31.4,3.40915991351725,31887809.0,LMC,SSF
GHA,2021.0,2445.18662529344,64.286,94.40388489,30.2,3.4005042684722,32518665.0,LMC,SSF
GHA,2022.0,2229.89122647803,65.246,82.32108307,29.2,2.90963831638452,33149152.0,LMC,SSF
GIB,2020.0,,83.07,,,,36173.0,HIC,ECS
GIB,2021.0,,80.274,,,,36858.0,HIC,ECS
GIB,2022.0,,83.517,,,,37609.0,HIC,ECS
